asset_environment,technical_severity_tier,asset_business_critical,asset_owner_privileged,outcome
production,high,True,True,Critical
production,high,True,False,Critical
production,high,True,,Critical
production,high,False,True,Critical
production,high,False,False,High
production,high,False,,High
production,high,,True,High
production,high,,False,High
production,high,,,High
production,moderate,True,True,High
production,moderate,True,False,High
production,moderate,True,,High
production,moderate,False,True,High
production,moderate,False,False,Medium
production,moderate,False,,Medium
production,moderate,,True,Medium
production,moderate,,False,Medium
production,moderate,,,Medium
production,low,True,True,Medium
production,low,True,False,Medium
production,low,True,,Medium
production,low,False,True,Medium
production,low,False,False,Low
production,low,False,,Low
production,low,,True,Low
production,low,,False,Low
production,low,,,Low
production,,True,True,Unknown
production,,True,False,Unknown
production,,True,,Unknown
production,,False,True,Unknown
production,,False,False,Unknown
production,,False,,Unknown
production,,,True,Unknown
production,,,False,Unknown
production,,,,Unknown
staging,high,True,True,High
staging,high,True,False,High
staging,high,True,,High
staging,high,False,True,High
staging,high,False,False,Medium
staging,high,False,,Medium
staging,high,,True,Medium
staging,high,,False,Medium
staging,high,,,Medium
staging,moderate,True,True,Medium
staging,moderate,True,False,Medium
staging,moderate,True,,Medium
staging,moderate,False,True,Medium
staging,moderate,False,False,Low
staging,moderate,False,,Low
staging,moderate,,True,Low
staging,moderate,,False,Low
staging,moderate,,,Low
staging,low,True,True,Low
staging,low,True,False,Low
staging,low,True,,Low
staging,low,False,True,Low
staging,low,False,False,Low
staging,low,False,,Low
staging,low,,True,Low
staging,low,,False,Low
staging,low,,,Low
staging,,True,True,Unknown
staging,,True,False,Unknown
staging,,True,,Unknown
staging,,False,True,Unknown
staging,,False,False,Unknown
staging,,False,,Unknown
staging,,,True,Unknown
staging,,,False,Unknown
staging,,,,Unknown
,high,True,True,Unknown
,high,True,False,Unknown
,high,True,,Unknown
,high,False,True,Unknown
,high,False,False,Unknown
,high,False,,Unknown
,high,,True,Unknown
,high,,False,Unknown
,high,,,Unknown
,moderate,True,True,Unknown
,moderate,True,False,Unknown
,moderate,True,,Unknown
,moderate,False,True,Unknown
,moderate,False,False,Unknown
,moderate,False,,Unknown
,moderate,,True,Unknown
,moderate,,False,Unknown
,moderate,,,Unknown
,low,True,True,Unknown
,low,True,False,Unknown
,low,True,,Unknown
,low,False,True,Unknown
,low,False,False,Unknown
,low,False,,Unknown
,low,,True,Unknown
,low,,False,Unknown
,low,,,Unknown
,,True,True,Unknown
,,True,False,Unknown
,,True,,Unknown
,,False,True,Unknown
,,False,False,Unknown
,,False,,Unknown
,,,True,Unknown
,,,False,Unknown
,,,,Unknown
